,Status,CommonCode,Name,Description,LevelAndCategory,Symbol,ConversionFactor
665,nan,E01,newton per square centimetre,A measure of pressure expressed in newtons per square centimetre.,1M,N/cm²,10⁴ Pa
666,nan,E07,megawatt hour per hour,A unit of accumulated energy of a million watts over a period of one hour.,3.1,MW·h/h,nan
667,nan,E08,megawatt per hertz,A unit of energy expressed as the load change in million watts that will cause a frequency shift of one hertz.,3.1,MW/Hz,nan
668,nan,E09,milliampere hour,A unit of power load delivered at the rate of one thousandth of an ampere over a period of one hour.,1M,mA·h,"3,6 C"
669,nan,E10,degree day,A unit of measure used in meteorology and engineering to measure the demand for heating or cooling over a given period of days.,3.5,deg da,nan
670,D,E11,gigacalorie,A unit of heat energy equal to one thousand million calories.,3.5,nan,10⁹ cal
671,nan,E12,mille,A unit of count defining the number of cigarettes in units of 1000.,3.9,nan,nan
672,nan,E14,kilocalorie (international table),A unit of heat energy equal to one thousand calories.,2,kcalIT,"4,186 8 x 10³ J"
673,nan,E15,kilocalorie (thermochemical) per hour,A unit of energy equal to one thousand calories per hour.,2,kcalth/h,"1,162 22 W"
674,nan,E16,million Btu(IT) per hour,A unit of power equal to one million British thermal units per hour.,3.1,BtuIT/h,"293 071,1 W"
675,nan,E17,cubic foot per second,A unit of volume equal to one cubic foot passing a given point in a period of one second.,3.1,ft³/s,"2,831 685 x 10⁻² m³/s"
676,nan,E18,tonne per hour,A unit of weight or mass equal to one tonne per hour.,2,t/h,"2,777 78 x 10⁻¹ kg/s"
677,nan,E19,ping,A unit of area equal to 3.3 square metres.,3.1,nan,"3,305 m²"
678,X,E2,belt,nan,3.9,nan,nan
679,nan,E20,megabit per second,A unit of information equal to 10⁶ (1000000) bits (binary digits) per second.,3.6,Mbit/s,nan
680,nan,E21,shares,A unit of count defining the number of shares (share: a total or portion of the parts into which a business entity’s capital is divided).,3.7,nan,nan
681,nan,E22,TEU,A unit of count defining the number of twenty-foot equivalent units (TEUs) as a measure of containerized cargo capacity.,3.4,nan,nan
682,nan,E23,tyre,"A unit of count defining the number of tyres (a solid or air-filled covering placed around a wheel rim to form a soft contact with the road, absorb shock and provide traction).",3.7,nan,nan
683,nan,E25,active unit,A unit of count defining the number of active units within a substance.,3.9,nan,nan
684,nan,E27,dose,A unit of count defining the number of doses (dose: a definite quantity of a medicine or drug).,3.9,nan,nan
685,nan,E28,air dry ton,"A unit of mass defining the number of tons of a product, disregarding the water content of the product.",3.1,nan,nan
686,X,E3,trailer,nan,3.4,nan,nan
687,nan,E30,strand,"A unit of count defining the number of strands (strand: long, thin, flexible, single thread, strip of fibre, constituent filament or multiples of the same, twisted together).",3.7,nan,nan
688,nan,E31,square metre per litre,A unit of count defining the number of square metres per litre.,3.1,m²/l,nan
689,nan,E32,litre per hour,A unit of count defining the number of litres per hour.,3.1,l/h,"2,777 78 x 10⁻⁷ m³/s"
690,nan,E33,foot per thousand,A unit of count defining the number of feet per thousand units.,3.1,nan,"3,048 x 10⁻⁴ m"
691,nan,E34,gigabyte,A unit of information equal to 10⁹ bytes.,3.6,Gbyte,nan
692,nan,E35,terabyte,A unit of information equal to 10¹² bytes.,3.6,Tbyte,nan
693,nan,E36,petabyte,A unit of information equal to 10¹⁵ bytes.,3.6,Pbyte,nan
694,nan,E37,pixel,A unit of count defining the number of pixels (pixel: picture element).,3.6,nan,nan
695,nan,E38,megapixel,A unit of count equal to 10⁶ (1000000) pixels (picture elements).,3.6,nan,nan
696,nan,E39,dots per inch,A unit of information defining the number of dots per linear inch as a measure of the resolution or sharpness of a graphic image.,3.6,dpi,nan
697,nan,E4,gross kilogram,A unit of mass defining the total number of kilograms before deductions.,3.1,nan,nan
698,nan,E40,part per hundred thousand,A unit of proportion equal to 10⁻⁵.,3.7,ppht,1 x 10⁻⁵
699,nan,E41,kilogram-force per square millimetre,A unit of pressure defining the number of kilograms force per square millimetre.,2,kgf/mm²,"9,806 65 x 10⁶ Pa"
700,nan,E42,kilogram-force per square centimetre,A unit of pressure defining the number of kilograms force per square centimetre.,2,kgf/cm²,"9,806 65 x 10⁴ Pa"
701,nan,E43,joule per square centimetre,A unit of energy defining the number of joules per square centimetre.,1M,J/cm²,10⁴ J/m²
702,nan,E44,kilogram-force metre per square centimetre,A unit of torsion defining the torque kilogram-force metre per square centimetre.,3.5,kgf·m/cm²,nan
703,nan,E45,milliohm,nan,1S,mΩ,10⁻³ Ω
704,nan,E46,kilowatt hour per cubic metre,A unit of energy consumption expressed as kilowatt hour per cubic metre.,3.1,kW·h/m³,"3,6 x 10⁶ J/m³"
705,nan,E47,kilowatt hour per kelvin,A unit of energy consumption expressed as kilowatt hour per kelvin.,3.1,kW·h/K,"3,6 x 10⁶ J/K"
706,nan,E48,service unit,A unit of count defining the number of service units (service unit: defined period / property / facility / utility of supply).,3.5,nan,nan
707,nan,E49,working day,A unit of count defining the number of working days (working day: a day on which work is ordinarily performed).,3.5,nan,nan
708,X,E5,metric long ton,Use ton (UK) or long ton (US) (common code LTN),3.1,nan,nan
709,nan,E50,accounting unit,A unit of count defining the number of accounting units.,3.5,nan,nan
710,nan,E51,job,A unit of count defining the number of jobs.,3.5,nan,nan
711,nan,E52,run foot,A unit of count defining the number feet per run.,3.5,nan,nan
712,nan,E53,test,A unit of count defining the number of tests.,3.5,nan,nan
713,nan,E54,trip,A unit of count defining the number of trips.,3.5,nan,nan
714,nan,E55,use,A unit of count defining the number of times an object is used.,3.5,nan,nan
715,nan,E56,well,A unit of count defining the number of wells.,3.5,nan,nan
716,nan,E57,zone,A unit of count defining the number of zones.,3.5,nan,nan
717,nan,E58,exabit per second,A unit of information equal to 10¹⁸ bits (binary digits) per second.,3.6,Ebit/s,nan
718,nan,E59,exbibyte,A unit of information equal to 2⁶⁰ bytes.,3.6,Eibyte,nan
719,nan,E60,pebibyte,A unit of information equal to 2⁵⁰ bytes.,3.6,Pibyte,nan
720,nan,E61,tebibyte,A unit of information equal to 2⁴⁰ bytes.,3.6,Tibyte,nan
721,nan,E62,gibibyte,A unit of information equal to 2³⁰ bytes.,3.6,Gibyte,nan
722,nan,E63,mebibyte,A unit of information equal to 2²⁰ bytes.,3.6,Mibyte,nan
723,nan,E64,kibibyte,A unit of information equal to 2¹⁰ bytes.,3.6,Kibyte,nan
724,nan,E65,exbibit per metre,A unit of information equal to 2⁶⁰ bits (binary digits) per metre.,3.6,Eibit/m,nan
725,nan,E66,exbibit per square metre,A unit of information equal to 2⁶⁰ bits (binary digits) per square metre.,3.6,Eibit/m²,nan
726,nan,E67,exbibit per cubic metre,A unit of information equal to 2⁶⁰ bits (binary digits) per cubic metre.,3.6,Eibit/m³,nan
727,nan,E68,gigabyte per second,A unit of information equal to 10⁹ bytes per second.,3.6,Gbyte/s,nan
728,nan,E69,gibibit per metre,A unit of information equal to 2³⁰ bits (binary digits) per metre.,3.6,Gibit/m,nan
729,nan,E70,gibibit per square metre,A unit of information equal to 2³⁰ bits (binary digits) per square metre.,3.6,Gibit/m²,nan
730,nan,E71,gibibit per cubic metre,A unit of information equal to 2³⁰ bits (binary digits) per cubic metre.,3.6,Gibit/m³,nan
731,nan,E72,kibibit per metre,A unit of information equal to 2¹⁰ bits (binary digits) per metre.,3.6,Kibit/m,nan
732,nan,E73,kibibit per square metre,A unit of information equal to 2¹⁰ bits (binary digits) per square metre.,3.6,Kibit/m²,nan
733,nan,E74,kibibit per cubic metre,A unit of information equal to 2¹⁰ bits (binary digits) per cubic metre.,3.6,Kibit/m³,nan
734,nan,E75,mebibit per metre,A unit of information equal to 2²⁰ bits (binary digits) per metre.,3.6,Mibit/m,nan
735,nan,E76,mebibit per square metre,A unit of information equal to 2²⁰ bits (binary digits) per square metre.,3.6,Mibit/m²,nan
736,nan,E77,mebibit per cubic metre,A unit of information equal to 2²⁰ bits (binary digits) per cubic metre.,3.6,Mibit/m³,nan
737,nan,E78,petabit,A unit of information equal to 10¹⁵ bits (binary digits).,3.6,Pbit,nan
738,nan,E79,petabit per second,A unit of information equal to 10¹⁵ bits (binary digits) per second.,3.6,Pbit/s,nan
739,nan,E80,pebibit per metre,A unit of information equal to 2⁵⁰ bits (binary digits) per metre.,3.6,Pibit/m,nan
740,nan,E81,pebibit per square metre,A unit of information equal to 2⁵⁰ bits (binary digits) per square metre.,3.6,Pibit/m²,nan
741,nan,E82,pebibit per cubic metre,A unit of information equal to 2⁵⁰ bits (binary digits) per cubic metre.,3.6,Pibit/m³,nan
742,nan,E83,terabit,A unit of information equal to 10¹² bits (binary digits).,3.6,Tbit,nan
743,nan,E84,terabit per second,A unit of information equal to 10¹² bits (binary digits) per second.,3.6,Tbit/s,nan
744,nan,E85,tebibit per metre,A unit of information equal to 2⁴⁰ bits (binary digits) per metre.,3.6,Tibit/m,nan
745,nan,E86,tebibit per cubic metre,A unit of information equal to 2⁴⁰ bits (binary digits) per cubic metre.,3.6,Tibit/m³,nan
746,nan,E87,tebibit per square metre,A unit of information equal to 2⁴⁰ bits (binary digits) per square metre.,3.6,Tibit/m²,nan
747,nan,E88,bit per metre,A unit of information equal to 1 bit (binary digit) per metre.,3.6,bit/m,nan
748,nan,E89,bit per square metre,A unit of information equal to 1 bit (binary digit) per square metre.,3.6,bit/m²,nan
749,nan,E90,reciprocal centimetre,nan,3.1,cm⁻¹,10² m⁻¹
750,nan,E91,reciprocal day,nan,3.1,d⁻¹,"1,157 41 × 10⁻⁵ s⁻¹"
751,nan,E92,cubic decimetre per hour,nan,1S,dm³/h,"2,777 78 × 10⁻⁷ m³ x s⁻¹"
752,nan,E93,kilogram per hour,nan,1S,kg/h,"2,777 78 × 10⁻⁴ kg x s⁻¹"
753,nan,E94,kilomole per second,nan,1S,kmol/s,10³ s⁻¹ x mol
754,nan,E95,mole per second,nan,1S,mol/s,s⁻¹ x mol
755,nan,E96,degree per second,nan,1M,°/s,"1,745 329 x 10⁻² rad x s⁻¹"
756,nan,E97,millimetre per degree Celcius metre,nan,1M,mm/(°C·m),10⁻³ K⁻¹
757,nan,E98,degree Celsius per kelvin,nan,1M,°C/K,1.0
758,nan,E99,hectopascal per bar,nan,1M,hPa/bar,10⁻³
759,nan,EA,each,A unit of count defining the number of items regarded as separate units.,3.2,nan,nan
760,nan,EB,electronic mail box,A unit of count defining the number of electronic mail boxes.,3.9,nan,nan
761,X,EC,each per month,nan,3.9,nan,nan
762,X,EP,eleven pack,nan,3.2,nan,nan
763,nan,EQ,equivalent gallon,A unit of volume defining the number of gallons of product produced from concentrate.,3.1,nan,nan
764,X,EV,envelope,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.9,nan,nan
765,nan,F01,bit per cubic metre,A unit of information equal to 1 bit (binary digit) per cubic metre.,3.6,bit/m³,nan
766,nan,F02,kelvin per kelvin,nan,1M,K/K,1.0
767,nan,F03,kilopascal per bar,nan,1M,kPa/bar,10⁻²
768,nan,F04,millibar per bar,nan,1M,mbar/bar,10⁻³
769,nan,F05,megapascal per bar,nan,1M,MPa/bar,10¹
770,nan,F06,poise per bar,nan,2,P/bar,10⁻⁶ s
771,nan,F07,pascal per bar,nan,1M,Pa/bar,10⁻⁵
772,nan,F08,milliampere per inch,nan,2,mA/in,"3,937 007 874 015 75 x 10⁻² A x m⁻¹"
773,X,F1,thousand cubic foot per day,nan,3.8,nan,nan
774,nan,F10,kelvin per hour,nan,1M,K/h,"2,777 78 × 10⁻⁴ s⁻¹ x K"
775,nan,F11,kelvin per minute,nan,1M,K/min,"1,666 67 × 10⁻² s⁻¹ x K"
776,nan,F12,kelvin per second,nan,1M,K/s,s⁻¹ x K
777,nan,F13,slug,A unit of mass. One slug is the mass accelerated at 1 foot per second per second by a force of 1 pound.,2,slug,"1,459 390 x 10¹ kg"
778,nan,F14,gram per kelvin,nan,1M,g/K,10⁻³ kg x K⁻¹
779,nan,F15,kilogram per kelvin,nan,1M,kg/K,kg x K⁻¹
780,nan,F16,milligram per kelvin,nan,1M,mg/K,10⁻⁶ kg x K⁻¹
781,nan,F17,pound-force per foot,nan,2,lbf/ft,"1,459 39 × 10¹ kg x s⁻²"
782,nan,F18,kilogram square centimetre,nan,1M,kg·cm²,10⁻⁴ kg m²
783,nan,F19,kilogram square millimetre,nan,1M,kg·mm²,10⁻⁶ kg m²
784,nan,F20,pound inch squared,nan,2,lb·in²,"2,926 397 x 10⁻⁴ kg x m²"
785,nan,F21,pound-force inch,nan,2,lbf·in,"1,129 85 × 10⁻¹ kg x m² x s⁻²"
786,nan,F22,pound-force foot per ampere,nan,2,lbf·ft/A,"1,355 82 kg x m² x s⁻² x A⁻¹"
787,nan,F23,gram per cubic decimetre,nan,1M,g/dm³,kg x m⁻³
788,nan,F24,kilogram per kilomol,nan,1M,kg/kmol,10⁻³ kg x mol⁻¹
789,nan,F25,gram per hertz,nan,1M,g/Hz,10⁻³ kg x s
790,nan,F26,gram per day,nan,1M,g/d,"1,157 41 × 10⁻⁸ kg x s⁻¹"
791,nan,F27,gram per hour,nan,1M,g/h,"2,777 78 × 10⁻⁷ kg x s⁻¹"
792,nan,F28,gram per minute,nan,1M,g/min,"1,666 67 × 10⁻⁵ kg x s⁻¹"
793,nan,F29,gram per second,nan,1M,g/s,10⁻³ kg x s⁻¹
794,nan,F30,kilogram per day,nan,1M,kg/d,"1,157 41 × 10⁻⁵ kg x s⁻¹"
795,nan,F31,kilogram per minute,nan,1M,kg/min,"1,666 67 × 10⁻² kg x s⁻¹"
796,nan,F32,milligram per day,nan,1M,mg/d,"1,157 41 × 10⁻¹¹ kg x s⁻¹"
797,nan,F33,milligram per minute,nan,1M,mg/min,"1,666 67 × 10⁻⁸ kg x s⁻¹"
798,nan,F34,milligram per second,nan,1M,mg/s,10⁻⁶ kg x s⁻¹
799,nan,F35,gram per day kelvin,nan,1M,g/(d·K),"1,157 41 × 10⁻⁸ kg x s⁻¹ x K⁻¹"
800,nan,F36,gram per hour kelvin,nan,1M,g/(h·K),"2,777 78 × 10⁻⁷ kg x s⁻¹ x K⁻¹"
801,nan,F37,gram per minute kelvin,nan,1M,g/(min·K),"1,666 67 × 10⁻⁵ kg x s⁻¹ x K⁻¹"
802,nan,F38,gram per second kelvin,nan,1M,g/(s·K),10⁻³ kg x s⁻¹ x K⁻¹
803,nan,F39,kilogram per day kelvin,nan,1M,kg/(d·K),"1,157 41 × 10⁻⁵ kg x s⁻¹ x K⁻¹"
804,nan,F40,kilogram per hour kelvin,nan,1M,kg/(h·K),"2,777 78 × 10⁻⁴ kg x s⁻¹ x K⁻¹"
805,nan,F41,kilogram per minute kelvin,nan,1M,kg/(min·K),"1,666 67 × 10⁻²kg x s⁻¹ x K⁻¹"
806,nan,F42,kilogram per second kelvin,nan,1M,kg/(s·K),kg x s⁻¹ x K⁻¹
807,nan,F43,milligram per day kelvin,nan,1M,mg/(d·K),"1,157 41 × 10⁻¹¹ kg x s⁻¹ x K⁻¹"
808,nan,F44,milligram per hour kelvin,nan,1M,mg/(h·K),"2,777 78 × 10⁻¹⁰ kg x s⁻¹ x K⁻¹"
809,nan,F45,milligram per minute kelvin,nan,1M,mg/(min·K),"1,666 67 × 10⁻⁸ kg x s⁻¹ x K⁻¹"
810,nan,F46,milligram per second kelvin,nan,1M,mg/(s·K),10⁻⁶ kg x s⁻¹ x K⁻¹
811,nan,F47,newton per millimetre,nan,1M,N/mm,10³ kg x s⁻²
812,nan,F48,pound-force per inch,nan,2,lbf/in,"1,751 27 × 10² kg x s⁻²"
813,nan,F49,rod [unit of distance],A unit of distance equal to 5.5 yards (16 feet 6 inches).,2,rd (US),"5,029 210 m"
814,nan,F50,micrometre per kelvin,nan,1M,µm/K,10⁻⁶ m x K⁻¹
815,nan,F51,centimetre per kelvin,nan,1M,cm/K,10⁻² m x K⁻¹
816,nan,F52,metre per kelvin,nan,1M,m/K,m x K⁻¹
817,nan,F53,millimetre per kelvin,nan,1M,mm/K,10⁻³ m x K⁻¹
818,nan,F54,milliohm per metre,nan,1M,mΩ/m,10⁻³ Ω/m
819,nan,F55,ohm per mile (statute mile),nan,2,Ω/mi,"6,213 71 × 10⁻⁴  Ω/m"
820,nan,F56,ohm per kilometre,nan,1M,Ω/km,10⁻³ Ω/m
821,nan,F57,milliampere per pound-force per square inch,nan,2,mA/(lbf/in²),"1,450 38 × 10⁻⁷ kg⁻¹ x m x s² x A"
822,nan,F58,reciprocal bar,nan,1M,1/bar,bar⁻¹
823,nan,F59,milliampere per bar,nan,1M,mA/bar,10⁻⁸ kg⁻¹ x m x s² x A
824,nan,F60,degree Celsius per bar,nan,1M,°C/bar,10⁻⁵ kg⁻¹ x m x s² x K
825,nan,F61,kelvin per bar,nan,1M,K/bar,10⁻⁵ kg⁻¹ x m x s² x K
826,nan,F62,gram per day bar,nan,1M,g/(d·bar),"1,157 41 × 10⁻¹³ m x s"
827,nan,F63,gram per hour bar,nan,1M,g/(h·bar),"2,777 78 × 10⁻¹² m x s"
828,nan,F64,gram per minute bar,nan,1M,g/(min·bar),"1,666 67 × 10⁻¹⁰ m x s"
829,nan,F65,gram per second bar,nan,1M,g/(s·bar),10⁻⁸ m x s
830,nan,F66,kilogram per day bar,nan,1M,kg/(d·bar),"1,157 41 × 10⁻¹⁰ m x s"
831,nan,F67,kilogram per hour bar,nan,1M,kg/(h·bar),"2,777 78 × 10⁻⁹ m x s"
832,nan,F68,kilogram per minute bar,nan,1M,kg/(min·bar),"1,666 67 × 10⁻⁷ m x s"
833,nan,F69,kilogram per second bar,nan,1M,kg/(s·bar),10⁻⁵ m x s
834,nan,F70,milligram per day bar,nan,1M,mg/(d·bar),"1,157 41 × 10⁻¹⁶ m x s"
835,nan,F71,milligram per hour bar,nan,1M,mg/(h·bar),"2,777 78 × 10⁻¹⁵ m x s"
836,nan,F72,milligram per minute bar,nan,1M,mg/(min·bar),"1,666 67 × 10⁻¹³ m x s"
837,nan,F73,milligram per second bar,nan,1M,mg/(s·bar),10⁻¹¹ m x s
838,nan,F74,gram per bar,nan,1M,g/bar,10⁻⁸ m x s²
839,nan,F75,milligram per bar,nan,1M,mg/bar,10⁻¹¹ m x s²
840,nan,F76,milliampere per millimetre,nan,1M,mA/mm,m⁻¹ x A
841,nan,F77,pascal second per kelvin,nan,1M,Pa.s/K,kg x m⁻¹ x s⁻¹ x K⁻¹
842,nan,F78,inch of water,nan,2,inH₂O,"2,490 89 × 10² kg x m⁻¹ x s⁻²"
843,nan,F79,inch of mercury,nan,2,inHg,"3,386 39 × 10³ kg x m⁻¹ x s⁻²"
844,nan,F80,water horse power,A unit of power defining the amount of power required to move a given volume of water against acceleration of gravity to a specified elevation (pressure head).,2,nan,"7,460 43 x 10² W"
845,nan,F81,bar per kelvin,nan,1M,bar/K,10⁵ kg x m⁻¹ x s⁻² x K⁻¹
846,nan,F82,hectopascal per kelvin,nan,1M,hPa/K,10² kg x m⁻¹ x s⁻² x K⁻¹
847,nan,F83,kilopascal per kelvin,nan,1M,kPa/K,10³ kg x m⁻¹ x s⁻² x K⁻¹
848,nan,F84,millibar per kelvin,nan,1M,mbar/K,10² kg x m⁻¹ x s⁻² x K⁻¹
849,nan,F85,megapascal per kelvin,nan,1M,MPa/K,10⁶ kg x m⁻¹ x s⁻² x K⁻¹
850,nan,F86,poise per kelvin,nan,2,P/K,10⁻¹ kg x m⁻¹ x s⁻¹ x K⁻¹
851,nan,F87,volt per litre minute,nan,1M,V/(l·min),"1,666 67 × 10¹ kg x m⁻¹ x s⁻⁴ x A⁻¹"
852,nan,F88,newton centimetre,nan,1M,N·cm,10⁻² kg x m² x s⁻²
853,nan,F89,newton metre per degree,nan,1M,Nm/°,"57,295 788 kg x m² x s⁻² x rad⁻¹"
854,X,F9,fibre per cubic centimetre of air,nan,3.9,nan,nan
855,nan,F90,newton metre per ampere,nan,1M,N·m/A,kg x m² x s⁻² x A⁻¹
856,nan,F91,bar litre per second,nan,1M,bar·l/s,10² kg x m² x s⁻³
857,nan,F92,bar cubic metre per second,nan,1M,bar·m³/s,10⁵ kg x m² x s⁻³
858,nan,F93,hectopascal litre per second,nan,1M,hPa·l/s,10⁻¹ kg x m² x s⁻³
859,nan,F94,hectopascal cubic metre per second,nan,1M,hPa·m³/s,10² kg x m² x s⁻³
860,nan,F95,millibar litre per second,nan,1M,mbar·l/s,10⁻¹ kg x m² x s⁻³
861,nan,F96,millibar cubic metre per second,nan,1M,mbar·m³/s,10² kg x m² x s⁻³
862,nan,F97,megapascal litre per second,nan,1M,MPa·l/s,10³ kg x m² x s⁻³
863,nan,F98,megapascal cubic metre per second,nan,1M,MPa·m³/s,10⁶ kg x m² x s⁻³
864,nan,F99,pascal litre per second,nan,1M,Pa·l/s,10⁻³ kg x m² x s⁻³
865,nan,FAH,degree Fahrenheit,Refer ISO 80000-5 (Quantities and units — Part 5: Thermodynamics),2,°F,5/9 x K
866,nan,FAR,farad,nan,1,F,F
867,X,FB,field,nan,3.9,nan,nan
868,nan,FBM,fibre metre,A unit of length defining the number of metres of individual fibre.,3.1,nan,nan
869,nan,FC,thousand cubic foot,A unit of volume equal to one thousand cubic foot.,3.8,kft³,nan
870,X,FD,million particle per cubic foot,nan,3.9,nan,nan
871,X,FE,track foot,nan,3.5,nan,nan
872,nan,FF,hundred cubic metre,A unit of volume equal to one hundred cubic metres.,3.8,nan,nan
873,X,FG,transdermal patch,nan,3.9,nan,nan
874,nan,FH,micromole,nan,1S,µmol,10⁻⁶ mol
875,nan,FIT,failures in time,A unit of count defining the number of failures that can be expected over a specified time interval. Failure rates of semiconductor components are often specified as FIT (failures in time unit) where 1 FIT = 10⁻⁹ /h.,3.8,FIT,"2,777 78 × 10⁻¹³ s⁻¹"
876,nan,FL,flake ton,A unit of mass defining the number of tons of a flaked substance (flake: a small flattish fragment).,3.1,nan,nan
877,X,FM,million cubic foot,nan,3.8,Mft³,nan
878,nan,FOT,foot,nan,2,ft,"0,304 8 m"
879,nan,FP,pound per square foot,nan,2,lb/ft²,"4,882 428 kg/m²"
880,nan,FR,foot per minute,nan,2,ft/min,"5,08 x 10⁻³ m/s"
881,nan,FS,foot per second,nan,2,ft/s,"0,304 8 m/s"
882,nan,FTK,square foot,nan,2,ft²,"9,290 304 x 10⁻² m²"
883,nan,FTQ,cubic foot,nan,2,ft³,"2,831 685 x 10⁻² m³"
884,nan,G01,pascal cubic metre per second,nan,1M,Pa·m³/s,kg x m² x s⁻³
885,nan,G04,centimetre per bar,nan,1M,cm/bar,10⁻⁷ kg⁻¹ x m² x s²
886,nan,G05,metre per bar,nan,1M,m/bar,10⁻⁵ kg⁻¹ x m² x s²
887,nan,G06,millimetre per bar,nan,1M,mm/bar,10⁻⁸ kg⁻¹ x m² x s²
888,nan,G08,square inch per second,nan,2,in²/s,"6,451 6 × 10⁻⁴ m² x s⁻¹"
889,nan,G09,square metre per second kelvin,nan,1M,m²/(s·K),m² x s⁻¹ x K⁻¹
890,nan,G10,stokes per kelvin,nan,2,St/K,10⁻⁴ m² x s⁻¹ x K⁻¹
891,nan,G11,gram per cubic centimetre bar,nan,1M,g/(cm³·bar),10⁻² m⁻² x s²
892,nan,G12,gram per cubic decimetre bar,nan,1M,g/(dm³·bar),10⁻⁵ m⁻² x s²
893,nan,G13,gram per litre bar,nan,1M,g/(l·bar),10⁻⁵ m⁻² x s²
894,nan,G14,gram per cubic metre bar,nan,1M,g/(m³·bar),10⁻⁸ m⁻² x s²
895,nan,G15,gram per millilitre bar,nan,1M,g/(ml·bar),10⁻² m⁻² x s²
896,nan,G16,kilogram per cubic centimetre bar,nan,1M,kg/(cm³·bar),10¹ m⁻² x s²
897,nan,G17,kilogram per litre bar,nan,1M,kg/(l·bar),10⁻² m⁻² x s²
898,nan,G18,kilogram per cubic metre bar,nan,1M,kg/(m³·bar),10⁻⁵ m⁻² x s²
899,nan,G19,newton metre per kilogram,nan,1M,N·m/kg,m² x s⁻²
900,nan,G2,US gallon per minute,nan,2,gal (US) /min,"6,309 020 x 10⁻⁵ m³/s"
901,nan,G20,pound-force foot per pound,nan,2,lbf·ft/lb,"2,989 07 m² x s⁻²"
902,nan,G21,cup [unit of volume],nan,2,cup (US),"2,365 882 x 10⁻⁴ m³"
903,nan,G23,peck,nan,2,pk (US),"8,809 768 x 10⁻³ m³"
904,nan,G24,tablespoon (US),nan,2,tablespoon (US),"1,478 676 x 10⁻⁵ m³"
905,nan,G25,teaspoon (US),nan,2,teaspoon (US),"4,928 922 x 10⁻⁶ m³"
906,nan,G26,stere,nan,1M,st,m³
907,nan,G27,cubic centimetre per kelvin,nan,1M,cm³/K,10⁻⁶ m³ x K⁻¹
908,nan,G28,litre per kelvin,nan,1M,l/K,10⁻³ m³ x K⁻¹
909,nan,G29,cubic metre per kelvin,nan,1M,m³/K,m³ x K⁻¹
910,nan,G3,Imperial gallon per minute,nan,2,gal (UK) /min,"7,576 82 x 10⁻⁵ m³/s"
911,nan,G30,millilitre per kelvin,nan,1M,ml/K,10⁻⁶ m³ x K⁻¹
912,nan,G31,kilogram per cubic centimetre,nan,1M,kg/cm³,10⁶ kg x m⁻³
913,nan,G32,ounce (avoirdupois) per cubic yard,nan,2,oz/yd³,"3,707 98 × 10⁻² kg x m⁻³"
914,nan,G33,gram per cubic centimetre kelvin,nan,1M,g/(cm³·K),10³ kg x m⁻³ x K⁻¹
915,nan,G34,gram per cubic decimetre kelvin,nan,1M,g/(dm³·K),kg x m⁻³ x K⁻¹
916,nan,G35,gram per litre kelvin,nan,1M,g/(l·K),kg x m⁻³ x K⁻¹
917,nan,G36,gram per cubic metre kelvin,nan,1M,g/(m³·K),10⁻³ kg x m⁻³ x K⁻¹
918,nan,G37,gram per millilitre kelvin,nan,1M,g/(ml·K),10³ kg x m⁻³ x K⁻¹
919,nan,G38,kilogram per cubic centimetre kelvin,nan,1M,kg/(cm³·K),10⁶ kg x m⁻³ x K⁻¹
920,nan,G39,kilogram per litre kelvin,nan,1M,kg/(l·K),10³ kg x m⁻³ x K⁻¹
921,nan,G40,kilogram per cubic metre kelvin,nan,1M,kg/(m³·K),kg x m⁻³ x K⁻¹
922,nan,G41,square metre per second bar,nan,1M,m²/(s·bar),10⁻⁵ kg⁻¹ x m³ x s
923,nan,G42,microsiemens per centimetre,nan,1M,µS/cm,10⁻⁴ S/m
924,nan,G43,microsiemens per metre,nan,1M,µS/m,10⁻⁶ S/m
925,nan,G44,nanosiemens per centimetre,nan,1M,nS/cm,10⁻⁷ S/m
926,nan,G45,nanosiemens per metre,nan,1M,nS/m,10⁻⁹ S/m
927,nan,G46,stokes per bar,nan,2,St/bar,10⁻⁹ kg⁻¹ x m³ x s
928,nan,G47,cubic centimetre per day,nan,1M,cm³/d,"1,157 41 × 10⁻¹¹ m³ x s⁻¹"
929,nan,G48,cubic centimetre per hour,nan,1M,cm³/h,"2,777 78 × 10⁻¹⁰ m³ x s⁻¹"
930,nan,G49,cubic centimetre per minute,nan,1M,cm³/min,"1,666 67 × 10⁻⁸ m³ x s⁻¹"
931,nan,G50,gallon (US) per hour,nan,2,gal/h,"1,051 5 × 10⁻⁶ m³ x s⁻¹"
932,nan,G51,litre per second,nan,1M,l/s,10⁻³ m³ x s⁻¹
933,nan,G52,cubic metre per day,nan,1M,m³/d,"1,157 41 × 10⁻⁵ m³ x s⁻¹"
934,nan,G53,cubic metre per minute,nan,1M,m³/min,"1,666 67 × 10⁻² m³ x s⁻¹"
935,nan,G54,millilitre per day,nan,1M,ml/d,"1,157 41 × 10⁻¹¹ m³ x s⁻¹"
936,nan,G55,millilitre per hour,nan,1M,ml/h,"2,777 78 × 10⁻¹⁰ m³ x s⁻¹"
937,nan,G56,cubic inch per hour,nan,2,in³/h,"4,551 96 × 10⁻⁹ m³ x s⁻¹"
